319496,433
364597,433
308408,433
309431,433
341845,433
329469,433
358736,433
367570,433
362003,433
348754,433
334206,433
359915,433
340046,433
352099,433
336759,433
337064,433
347405,433
306053,433
326397,433
328132,433
326810,433
334001,433
357313,433
362579,433
340235,433
352420,433
335990,433
336427,433
291548,433
298538,433
337020,433
321197,433
355343,433
311693,433
323340,433
319912,433
295043,433
292532,433
283018,433
282629,433
274021,433
271321,433
295368,433
273563,433
300375,433
307007,433
284419,433
305337,433
342022,433
345206,433
362569,433
328841,433
