385013,433
440339,433
418454,433
370282,433
422694,433
396476,433
414745,433
411090,433
423771,433
409172,433
444658,433
453749,433
413487,433
376300,433
420338,433
411799,433
408705,433
356194,433
376813,433
375941,433
374861,433
392269,433
417497,433
410698,433
422304,433
399380,433
431699,433
402338,433
366925,433
384974,433
388372,433
393977,433
406821,433
400247,433
410181,433
399797,433
378092,433
355637,433
350646,433
329160,433
294982,433
334101,433
357701,433
337578,433
338603,433
363895,433
339470,433
373699,433
415562,433
425119,433
435852,433
402209,433
